,ME,NH,VT,WCMA,NEMA,CT,RI,SEMA,VINE,MFLR1,MFLR2,COMW,PKCTY,CTREV,RIREV
11,1224.821,1164.73,217.259,1317.019,2225.818,2518.602,795.564,1245.048,0,0,0,0,0,0,0
12,1242.528,1191.769,218.004,1357.573,2272.22,2632.216,820.351,1302.346,0,0,0,0,0,0,0
13,1241.588,1210.714,226.047,1382.736,2311.392,2683.912,845.902,1327.246,0,0,0,0,0,0,0
14,1213.882,1226.399,236.177,1405.643,2341.204,2730.436,853.723,1361.618,0,0,0,0,0,0,0
15,1211.692,1247.567,252.325,1452.312,2389.6,2828.36,874.24,1401.752,0,0,0,0,0,0,0
16,1240.881,1282.726,289.073,1534.548,2441.681,2950.796,880.616,1475.878,0,0,0,0,0,0,0
17,1288.542,1330.992,359.178,1648.471,2512.748,3150.398,900.813,1578.932,0,0,0,0,0,0,0
18,1331.849,1381.293,453.87,1773.23,2576.645,3333.609,921.714,1679.114,0,0,0,0,0,0,0
19,1342.358,1389.355,544.594,1853.215,2578.719,3402.813,918.831,1723.256,0,0,0,0,0,0,0
20,1314.906,1352.34,586.673,1842.034,2534.189,3327.263,891.403,1698.198,0,0,0,0,0,0,0
21,1297.776,1319.509,591.711,1813.901,2521.599,3248.935,878.231,1673.825,0,0,0,0,0,0,0
22,1235.065,1258.676,580.835,1754.171,2488.399,3131.663,847.188,1607.528,0,0,0,0,0,0,0
23,1150.651,1159.591,544.611,1644.118,2376.798,2904.381,794.05,1484.41,0,0,0,0,0,0,0
24,1068.2,1066.918,497.546,1518.697,2250.605,2651.992,732.646,1351.31,0,0,0,0,0,0,0
1,1461.236,1506.052,700.923,2215.635,3503.01,3974.327,1182.495,2194.196,0,0,0,0,0,0,0
2,1417.629,1442.594,668.397,2111.243,3350.906,3770.191,1129.245,2089.668,0,0,0,0,0,0,0
3,1367.165,1397.92,653.734,2042.79,3260.135,3631.982,1093.462,2018.36,0,0,0,0,0,0,0
4,1348.135,1361.621,642.333,2007.786,3229.713,3560.601,1070.126,1982.101,0,0,0,0,0,0,0
5,1362.92,1368.737,644.158,2023.492,3256.16,3575.126,1066.839,1993.717,0,0,0,0,0,0,0
6,1413.312,1434.088,670.111,2107.159,3362.29,3727.513,1091.863,2058.142,0,0,0,0,0,0,0
7,1502.471,1540.251,706.199,2250.725,3554.618,3981.469,1141.121,2172.508,0,0,0,0,0,0,0
8,1640.19,1699.936,722.007,2419.074,3777.847,4346.727,1230.457,2378.592,0,0,0,0,0,0,0
9,1732.497,1854.696,705.951,2559.495,4024.644,4669.65,1339.199,2548.046,0,0,0,0,0,0,0
10,1808.885,1988.188,669.338,2668.354,4277.101,4941.867,1452.872,2707.122,0,0,0,0,0,0,0
11,1868.658,2110.562,644.488,2795.164,4516.204,5246.183,1556.027,2858.416,0,0,0,0,0,0,0
12,1894.963,2226.496,630.388,2950.776,4742.919,5571.404,1647.82,3030.56,0,0,0,0,0,0,0
13,1878.973,2318.09,633.315,3058.587,4946.652,5822.417,1707.291,3179.805,0,0,0,0,0,0,0
14,1866.504,2370.793,656.809,3122.861,5061.567,6013.777,1744.642,3267.142,0,0,0,0,0,0,0
15,1817.207,2410.222,685.314,3199.783,5170.002,5979.158,1772.638,3306.376,0,0,0,0,0,0,0
16,1785.833,2427.172,706.132,3256.452,5239.813,5872.657,1790.699,3356.381,0,0,0,0,0,0,0
17,1764.736,2412.104,773.857,3232.529,5227.591,5828.168,1759.425,3373.211,0,0,0,0,0,0,0
18,1744.568,2417.286,775.918,3281.698,5190.711,5871.479,1698.057,3393.294,0,0,0,0,0,0,0
